	Id	Part2B	Part2T	Part1	Ref_Name
383	asr				Asuri
384	ass				Ipulo
385	ast	ast	ast		Asturian
386	asu				Tocantins Asurini
387	asv				Asoa
388	asw				Australian Aborigines Sign Language
389	asx				Muratayak
390	asy				Yaosakor Asmat
391	asz				As
392	ata				Pele-Ata
393	atb				Zaiwa
394	atc				Atsahuaca
395	atd				Ata Manobo
396	ate				Atemble
397	atg				Ivbie North-Okpela-Arhe
398	ati				Attié
399	atj				Atikamekw
400	atk				Ati
401	atl				Mt. Iraya Agta
402	atm				Ata
403	atn				Ashtiani
404	ato				Atong (Cameroon)
405	atp				Pudtol Atta
406	atq				Aralle-Tabulahan
407	atr				Waimiri-Atroari
408	ats				Gros Ventre
409	att				Pamplona Atta
410	atu				Reel
411	atv				Northern Altai
412	atw				Atsugewi
413	atx				Arutani
414	aty				Aneityum
415	atz				Arta
416	aua				Asumboa
417	aub				Alugu
418	auc				Waorani
419	aud				Anuta
420	aug				Aguna
421	auh				Aushi
422	aui				Anuki
423	auj				Awjilah
424	auk				Heyo
425	aul				Aulua
426	aum				Asu (Nigeria)
427	aun				Molmo One
428	auo				Auyokawa
429	aup				Makayam
430	auq				Anus
431	aur				Aruek
432	aut				Austral
433	auu				Auye
434	auw				Awyi
435	aux				Aurá
436	auy				Awiyaana
437	auz				Uzbeki Arabic
438	ava	ava	ava	av	Avaric
439	avb				Avau
440	avd				Alviri-Vidari
441	ave	ave	ave	ae	Avestan
442	avi				Avikam
443	avk				Kotava
444	avl				Eastern Egyptian Bedawi Arabic
445	avm				Angkamuthi
446	avn				Avatime
447	avo				Agavotaguerra
448	avs				Aushiri
449	avt				Au
450	avu				Avokaya
451	avv				Avá-Canoeiro
452	awa	awa	awa		Awadhi
453	awb				Awa (Papua New Guinea)
454	awc				Cicipu
455	awe				Awetí
456	awg				Anguthimri
457	awh				Awbono
458	awi				Aekyom
459	awk				Awabakal
460	awm				Arawum
461	awn				Awngi
462	awo				Awak
463	awr				Awera
464	aws				South Awyu
465	awt				Araweté
466	awu				Central Awyu
467	awv				Jair Awyu
468	aww				Awun
469	awx				Awara
470	awy				Edera Awyu
471	axb				Abipon
472	axe				Ayerrerenge
473	axg				Mato Grosso Arára
474	axk				Yaka (Central African Republic)
475	axl				Lower Southern Aranda
476	axm				Middle Armenian
477	axx				Xârâgurè
478	aya				Awar
479	ayb				Ayizo Gbe
480	ayc				Southern Aymara
481	ayd				Ayabadhu
482	aye				Ayere
483	ayg				Ginyanga
484	ayh				Hadrami Arabic
485	ayi				Leyigha
486	ayk				Akuku
487	ayl				Libyan Arabic
488	aym	aym	aym	ay	Aymara
489	ayn				Sanaani Arabic
490	ayo				Ayoreo
491	ayp				North Mesopotamian Arabic
492	ayq				Ayi (Papua New Guinea)
493	ayr				Central Aymara
494	ays				Sorsogon Ayta
495	ayt				Magbukun Ayta
496	ayu				Ayu
497	ayz				Mai Brat
498	aza				Azha
499	azb				South Azerbaijani
500	azd				Eastern Durango Nahuatl
501	aze	aze	aze	az	Azerbaijani
502	azg				San Pedro Amuzgos Amuzgo
503	azj				North Azerbaijani
504	azm				Ipalapa Amuzgo
505	azn				Western Durango Nahuatl
506	azo				Awing
507	azt				Faire Atta
508	azz				Highland Puebla Nahuatl
509	baa				Babatana
510	bab				Bainouk-Gunyuño
511	bac				Badui
512	bae				Baré
513	baf				Nubaca
514	bag				Tuki
515	bah				Bahamas Creole English
516	baj				Barakai
517	bak	bak	bak	ba	Bashkir
518	bal	bal	bal		Baluchi
519	bam	bam	bam	bm	Bambara
520	ban	ban	ban		Balinese
521	bao				Waimaha
522	bap				Bantawa
523	bar				Bavarian
524	bas	bas	bas		Basa (Cameroon)
525	bau				Bada (Nigeria)
526	bav				Vengo
527	baw				Bambili-Bambui
528	bax				Bamun
529	bay				Batuley
530	bba				Baatonum
531	bbb				Barai
532	bbc				Batak Toba
533	bbd				Bau
534	bbe				Bangba
535	bbf				Baibai
536	bbg				Barama
537	bbh				Bugan
538	bbi				Barombi
539	bbj				Ghomálá'
540	bbk				Babanki
541	bbl				Bats
542	bbm				Babango
543	bbn				Uneapa
544	bbo				Northern Bobo Madaré
545	bbp				West Central Banda
546	bbq				Bamali
547	bbr				Girawa
548	bbs				Bakpinka
549	bbt				Mburku
550	bbu				Kulung (Nigeria)
551	bbv				Karnai
552	bbw				Baba
553	bbx				Bubia
554	bby				Befang
555	bca				Central Bai
556	bcb				Bainouk-Samik
557	bcc				Southern Balochi
558	bcd				North Babar
559	bce				Bamenyam
560	bcf				Bamu
561	bcg				Baga Pokur
562	bch				Bariai
563	bci				Baoulé
564	bcj				Bardi
565	bck				Bunuba
566	bcl				Central Bikol
567	bcm				Bannoni
568	bcn				Bali (Nigeria)
569	bco				Kaluli
570	bcp				Bali (Democratic Republic of Congo)
571	bcq				Bench
572	bcr				Babine
573	bcs				Kohumono
574	bct				Bendi
575	bcu				Awad Bing
576	bcv				Shoo-Minda-Nye
577	bcw				Bana
578	bcy				Bacama
579	bcz				Bainouk-Gunyaamolo
580	bda				Bayot
581	bdb				Basap
582	bdc				Emberá-Baudó
583	bdd				Bunama
584	bde				Bade
585	bdf				Biage
586	bdg				Bonggi
587	bdh				Baka (South Sudan)
588	bdi				Burun
589	bdj				Bai (South Sudan)
590	bdk				Budukh
591	bdl				Indonesian Bajau
592	bdm				Buduma
593	bdn				Baldemu
594	bdo				Morom
595	bdp				Bende
596	bdq				Bahnar
597	bdr				West Coast Bajau
598	bds				Burunge
599	bdt				Bokoto
600	bdu				Oroko
601	bdv				Bodo Parja
602	bdw				Baham
603	bdx				Budong-Budong
604	bdy				Bandjalang
605	bdz				Badeshi
606	bea				Beaver
607	beb				Bebele
608	bec				Iceve-Maci
609	bed				Bedoanas
610	bee				Byangsi
611	bef				Benabena
612	beg				Belait
613	beh				Biali
614	bei				Bekati'
615	bej	bej	bej		Beja
616	bek				Bebeli
617	bel	bel	bel	be	Belarusian
618	bem	bem	bem		Bemba (Zambia)
619	ben	ben	ben	bn	Bengali
620	beo				Beami
621	bep				Besoa
622	beq				Beembe
